words	labels
I	O
live	O
in	O
London	LOCATION
.	0
She	O
lives	O
in	O
Paris	LOCATION
.	0
We	O
Live	O
in	O
Europe	O
.	O
Herbert	O
comes	O
from	O
Munich	LOCATION
.	0
Faust	O
was	O
born	O
in	O
Germany	LOCATION
.	0
I	O
live	O
in	O
London	LOCATION
.	0
She	O
lives	O
in	O
Paris	LOCATION
.	0
We	O
Live	O
in	O
Europe	O
.	O
Herbert	O
comes	O
from	O
Munich	LOCATION
.	0
Faust	O
was	O
born	O
in	O
Germany	LOCATION
.	0
I	O
live	O
in	O
London	LOCATION
.	0
She	O
lives	O
in	O
Paris	LOCATION
.	0
We	O
Live	O
in	O
Europe	O
.	O
Herbert	O
comes	O
from	O
Munich	LOCATION
.	0
Faust	O
was	O
born	O
in	O
Germany	LOCATION
.	0
I	O
live	O
in	O
London	LOCATION
.	0
She	O
lives	O
in	O
Paris	LOCATION
.	0
We	O
Live	O
in	O
Europe	O
.	O
Herbert	O
comes	O
from	O
Munich	LOCATION
.	0
Faust	O
was	O
born	O
in	O
Germany	LOCATION
.	0
